"time","siteID","gcc_90","gcc_sd","daylength","precipitation","radiation","snow_water_equiv","max_temp","min_temp","vapor_pressure"
2016-12-13,"HARV",0.32901,0.000116103446133518,32032.7,2.6,112.77,19.76,2.42,-3.12,485.36
2016-12-14,"HARV",0.32811,0.000178483685871979,32008.04,0,172.9,19.6,0.64,-5.64,401.38
2016-12-15,"HARV",0.32955,0.000481038470182931,31987.29,0,111.01,19.6,-6.91,-10.52,274.35
2016-12-16,"HARV",0.32874,0.000327826046455571,31970.47,0,250,19.6,-8.23,-20.13,123.46
2016-12-17,"HARV",0.33152,0.0003795560048482,31957.59,19.89,202.33,39.49,3.23,-19.47,130.79
2016-12-18,"HARV",0.33194,0.000264214078322242,31948.66,18.94,197.51,58.43,7.52,-8.72,316.23
2016-12-19,"HARV",0.32941,0.000329844034881547,31943.69,0,140.55,58.43,-5.48,-10.2,281.51
2016-12-20,"HARV",0.3296,0.000372517877395963,31942.68,0,270.44,58.43,-3.36,-19.73,127.8
2016-12-21,"HARV",0.32933,0.000473776837159198,31945.63,0,273.75,58.43,1.68,-18.91,137.2
2016-12-22,"HARV",0.32927,0.000878292075448665,31952.55,5.22,180.8,63.65,1.39,-10.34,278.25
2016-12-23,"HARV",0.32933,0.000378906605799325,31963.42,0,191.87,63.21,2.94,-4.95,422.83
2016-12-24,"HARV",0.32995,0.000274371462786935,31978.24,15.95,142.54,62.93,2.52,-5.32,411.06
2016-12-25,"HARV",0.32969,0.00034834371016018,31996.99,0,157.95,61.57,3.41,-2.78,497.72
2016-12-26,"HARV",0.33023,0.000432237546178643,32019.66,4.58,202.5,66.15,7.74,-11.63,251.12
2016-12-27,"HARV",0.33142,0.000388993009223164,32046.24,0,269.99,66.15,9.07,-9.83,289.67
2016-12-28,"HARV",0.32951,0.000226214274437284,32076.69,0,72.07,64.12,1.59,-1.15,561.42
2016-12-29,"HARV",0.33074,0.000299849554113467,32111.01,13.35,65.89,63.22,-0.59,-3.87,458.67
2016-12-30,"HARV",0.32913,0.000550895597353679,32149.15,0,104.66,62.44,-0.23,-4.14,449.52
2016-12-31,"HARV",0.32985,0.000442334357328777,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"HARV",0.33002,0.000720678004183759,32191.29,0,211.79,36.22,2.31,-6.5,375.57
2017-01-02,"HARV",0.32976,0.000179301962837968,32237.02,0,245.85,36.22,1.95,-9.68,293.32
2017-01-03,"HARV",0.3301,6.79526395696918e-05,32286.48,13.44,177.2,49.66,2.67,-7.82,339.28
2017-01-04,"HARV",0.33048,0.000339444323828801,32339.64,0,111.08,47.05,4.18,0.21,620.06
2017-01-05,"HARV",0.32928,0.000410104279919345,32396.46,0,143.1,47.05,-2.68,-7.73,341.55
2017-01-06,"HARV",0.32916,0.000189332878221168,32456.89,0,99.32,47.05,-3.94,-7.31,352.9
2017-01-07,"HARV",0.32927,0.00011520948090237,32520.89,2.89,127.45,49.94,-7.7,-13.73,211.82
2017-01-08,"HARV",0.32865,0.000613283243481095,32588.42,0,249.05,49.94,-8.34,-18.81,138.42
2017-01-09,"HARV",0.32841,0.000207886963987457,32659.42,0,259.29,49.94,-8.81,-20.11,123.73
2017-01-10,"HARV",0.32982,9.59323230837451e-05,32733.85,5.19,220.49,55.13,5.63,-20.33,121.36
2017-01-11,"HARV",0.32971,0.000343471176344666,32811.65,4.74,220.53,59.87,8.44,-13.75,211.31
2017-01-12,"HARV",0.33217,0.00018573911921877,32892.76,5.29,194.21,58.13,9.92,-1.86,532.9
2017-01-13,"HARV",0.32894,0.00029505460995745,32977.15,0,94.65,55.3,3.86,0.74,644.22
2017-01-14,"HARV",0.3283,0.000107145554251776,33064.74,0,255.73,55.3,-1.64,-11.92,245.34
2017-01-15,"HARV",0.32855,0.000904313986468451,33155.47,0,277.39,55.3,0.02,-12.2,239.87
2017-01-16,"HARV",0.32831,0.000286674489372778,33249.3,0,293.61,55.3,2.21,-12.46,234.7
2017-01-17,"HARV",0.3283,0.000330421375994794,33346.16,9.33,224.54,64.63,3.57,-12.02,243.37
2017-01-18,"HARV",0.32792,0.000286562936777757,33445.99,1.55,214.59,66.18,0.68,-6.65,371.44
2017-01-19,"HARV",0.33022,0.000334133826299509,33548.73,0,173.89,64.11,4.61,-1.07,564.65
2017-01-20,"HARV",0.32969,9.5156575587561e-05,33654.31,0,105.38,62.47,1.15,-2.07,524.48
2017-01-21,"HARV",NA,NA,33762.67,0,278.03,61.1,8.55,-2.74,499.13
2017-01-22,"HARV",NA,NA,33873.76,0.53,167.59,58.71,5,-0.33,596.33
2017-01-23,"HARV",NA,NA,33987.49,12.05,30.58,56.8,-0.71,-1.44,549.44
2017-01-24,"HARV",NA,NA,34103.82,4.64,73.87,55.27,0.53,-2.35,513.72
2017-01-25,"HARV",NA,NA,34222.68,2.02,114.51,53.73,2.31,-2.32,514.86
2017-01-26,"HARV",NA,NA,34344,0,229.88,51.81,6.11,-1.45,549.28
2017-01-27,"HARV",NA,NA,34467.72,0,98.66,49.28,2.88,0.04,612.42
2017-01-28,"HARV",NA,NA,34593.78,0,78.54,47.33,0.78,-1.35,553.18
2017-01-29,"HARV",NA,NA,34722.11,0,186.82,46.49,1.52,-4.01,453.8
2017-01-30,"HARV",0.32939,0.000550602341781721,34852.65,0,255.84,46.49,-1.41,-9.48,297.91
2017-01-31,"HARV",0.3284,0.000207253432555711,34985.33,1.89,271.33,48.38,-4.33,-12.93,226.07
2017-02-01,"HARV",0.32916,0.000329187487053581,35120.1,0,330.86,48.38,1.26,-11.91,245.54
2017-02-02,"HARV",0.32875,0.000336617675697274,35256.89,0,297.87,48.38,0.29,-9.62,294.53
2017-02-03,"HARV",0.32894,0.000184691973019833,35395.64,0,279.91,48.38,-2.51,-11.3,257.7
2017-02-04,"HARV",0.32869,0.000221816430815193,35536.29,0,311.34,48.38,-1.72,-12.35,236.91
2017-02-05,"HARV",0.32899,0.000161276160668581,35678.78,0,336.1,48.38,1.07,-11.8,247.64
2017-02-06,"HARV",0.32886,0.000162394274554741,35823.05,0,227.38,48.38,-0.02,-6.71,369.53
2017-02-07,"HARV",NA,NA,35969.04,13.67,67.29,47.38,-1.35,-3.63,467.21
2017-02-08,"HARV",0.32956,0.000141153239930421,36116.7,3.68,243.79,47.07,6,-5.25,413.36
2017-02-09,"HARV",0.33285,0.000320215858955376,36265.97,20.52,66.9,46.64,-2.96,-4.99,421.5
2017-02-10,"HARV",0.32826,0.000137176140306485,36416.79,5.43,282.75,52.08,-5.12,-19,136.16
2017-02-11,"HARV",0.32894,6.89735264209384e-05,36569.11,0,376.69,52.08,-5.38,-18.31,144.36
2017-02-12,"HARV",0.33093,0.000260370022413172,36722.87,16.79,250.72,68.87,-2.97,-12.39,236.1
2017-02-13,"HARV",0.32898,0.000378670898522385,36878.03,0,240.19,68.87,-2.88,-8.55,320.42
2017-02-14,"HARV",0.32874,0.00013630697647859,37034.53,0,386.65,68.87,0.77,-11.85,246.68
2017-02-15,"HARV",0.32988,0.000230394603820031,37192.31,1.97,410.17,70.84,4.34,-11.93,245.09
2017-02-16,"HARV",0.32967,0.000191038087878856,37351.33,0,175.32,69.92,-0.05,-3.82,460.66
2017-02-17,"HARV",0.32883,0.000184224796132892,37511.54,0,395.81,69.92,1.43,-10.69,270.63
2017-02-18,"HARV",0.33036,0.000209364051647968,37672.9,0,422.17,69.92,7.27,-9.64,294.16
2017-02-19,"HARV",0.33015,0.000117335903651494,37835.35,0,425.86,69.92,12.34,-6.55,374.31
2017-02-20,"HARV",0.32906,0.000132113896440355,37998.85,0,322.94,68.55,5.57,-2.74,499.1
2017-02-21,"HARV",0.32983,8.10502489640961e-05,38163.35,0,422.23,68.55,5.42,-9.58,295.5
2017-02-22,"HARV",0.33018,0.000203287214129585,38328.81,0,440.4,68.55,11.9,-8.45,323.09
2017-02-23,"HARV",0.33006,0.000180500840633462,38495.19,0,426.56,66.59,16.68,-1.32,554.4
2017-02-24,"HARV",0.33048,0.000232302494561703,38662.45,0.86,436.04,64.59,19.61,-1.25,557.54
2017-02-25,"HARV",0.33012,0.000203891127410522,38830.54,10.58,302.64,61,18.07,2.55,733.71
2017-02-26,"HARV",0.32807,0.000376002624828011,38999.42,0,215.3,59.63,3.01,-2.75,498.67
2017-02-27,"HARV",0.32762,0.000187981549246577,39169.06,0,421.55,59.63,9.76,-6.01,389.94
2017-02-28,"HARV",0.32804,0.000139240505483663,39339.42,0.43,427.13,59.04,12.07,-4.58,434.98
2017-03-01,"HARV",0.33012,0.000482343767663773,39510.45,0,389.01,56.53,13.6,-0.04,608.92
2017-03-02,"HARV",0.32729,0.000143560150232208,39682.13,0,106.27,52.7,5.87,3.13,764.69
2017-03-03,"HARV",0.32674,0.000335555721824226,39854.41,0,286.21,52.7,-0.52,-8.41,323.9
2017-03-04,"HARV",0.32654,0.000262094433830439,40027.26,0,282.44,52.7,-7.94,-15.47,183.44
2017-03-05,"HARV",0.3271,0.000254866050452919,40200.65,0,409.67,52.7,-3.83,-16.61,166.79
2017-03-06,"HARV",0.32736,0.00029790503623176,40374.55,0,483.71,52.7,5.33,-15.73,179.47
2017-03-07,"HARV",0.32838,0.000182786593533306,40548.91,1.55,479.1,54.24,9.36,-10.72,269.99
2017-03-08,"HARV",0.32791,0.000178897398482126,40723.71,0.69,367.93,51.87,11.11,-0.35,595.17
2017-03-09,"HARV",0.32758,0.00040878660667385,40898.91,0,199.46,49.04,6.22,0.75,644.59
2017-03-10,"HARV",0.32775,0.000118192620371172,41074.49,0.96,100.56,47.65,-0.36,-2.69,501.03
2017-03-11,"HARV",0.32824,0.000151601093098207,41250.42,0,333.12,47.65,-6.99,-16.22,172.3
2017-03-12,"HARV",0.32677,6.3373528240367e-05,41426.65,0,371.02,47.65,-6.16,-16.63,166.54
2017-03-13,"HARV",0.32685,0.000277262548528153,41603.17,2.75,350.16,50.4,-1.05,-16.77,164.55
2017-03-14,"HARV",0.33503,0.000886226123077222,41779.94,31.13,285.99,81.54,-3.14,-13.6,213.98
2017-03-15,"HARV",0.32957,0.000118484642938414,41956.94,0,298.06,81.54,-5.34,-12.95,225.73
2017-03-16,"HARV",0.32941,0.000174778110057015,42134.13,0,387.69,81.54,-2.3,-12.74,229.47
2017-03-17,"HARV",0.32965,0.000280410795594099,42311.49,0,474.13,81.54,3.58,-10.91,265.91
2017-03-18,"HARV",0.32989,0.000141117298148509,42488.98,0,481.9,81.54,2.87,-12.25,238.78
2017-03-19,"HARV",0.32958,0.000295215477167409,42666.59,0,466.52,81.54,3.52,-10.56,273.53
2017-03-20,"HARV",0.33001,0.000193439961681942,42844.28,0,519.73,81.54,9.42,-8.72,316.2
2017-03-21,"HARV",NA,0.00558887523626451,43022.03,0,519.18,81.54,9.96,-7.78,340.28
2017-03-22,"HARV",NA,NA,43199.81,0,190.55,80.86,0.14,-4.38,441.41
2017-03-23,"HARV",NA,NA,43377.58,0,469.28,80.86,1.51,-11.76,248.38
2017-03-24,"HARV",NA,NA,43555.33,1.94,478.92,82.8,2.99,-10.41,276.65
2017-03-25,"HARV",NA,NA,43733.02,4.13,256.63,82.04,3.95,-4.19,447.95
