Aquilegia canadensis
Asclepias syriaca
Barbarea vulgaris
Betula nana
Brassica rapa 
Capsicum annuum
Carnegiea gigantea
Carya illinoinensis
Diospyros lotus
Diospyros virginiana
Fragaria vesca
Ginkgo biloba
Glycine max
Gossypium barbadense
Gossypium hirsutum
Helianthus annuus
Juglans nigra
Malus pumila
Medicago sativa
Mimulus guttatus
Panicum virgatum
Picea glauca
Pinus taeda
Populus trichocarpa
Prunus persica
Pyrus communis
Simmondsia chinensis
Solanum lycopersicum
Solanum tuberosum
Triticum aestivum
Vitis vinifera
Zea mays
Salix purpurea
Betula nana
Quercus robur
Picea abies
