"species","lat","lon","sitename","date","canopy_cover","uid"
"Carduus pycnocephalus L.",37.08,-119.72,"SJER_SJER_022_32.2.1",2019-04-10,2,"6b25c42f-6403-4465-82df-5e868b07e7fc"
"Silene gallica L.",37.08,-119.72,"SJER_SJER_015_31.1.1",2019-04-10,1,"e824e1ab-74f2-4848-ae3c-885455f259ec"
"Bromus diandrus Roth",37.08,-119.72,"SJER_SJER_015_31.1.1",2019-04-10,0.5,"28a67208-4ff3-45f1-a507-0bd6a53edc64"
"Erodium botrys (Cav.) Bertol.",37.08,-119.72,"SJER_SJER_015_31.1.1",2019-04-10,8,"b832148b-24a5-4745-b409-73f2f3b7b270"
"Avena barbata Pott ex Link",37.08,-119.72,"SJER_SJER_015_31.1.1",2019-04-10,3,"7ebc0308-b4e1-43e4-ad89-917914297799"
"Carduus pycnocephalus L.",37.08,-119.72,"SJER_SJER_022_32.4.1",2019-04-10,3,"015ef93d-2bc8-428c-9266-6f78f4e3cd75"
"Bromus hordeaceus L.",37.08,-119.72,"SJER_SJER_022_32.4.1",2019-04-10,1,"e881cc69-98d0-4abf-9993-46b5eca5afae"
"Capsella bursa-pastoris (L.) Medik.",37.08,-119.72,"SJER_SJER_022_32.4.1",2019-04-10,0.5,"e5dad291-6e33-4daa-9cd4-6856c2cb43e2"
"Hypochaeris glabra L.",37.08,-119.72,"SJER_SJER_022_32.2.1",2019-04-10,7,"ce6e38f9-ec61-4203-8f71-ec7847f04fb2"
"Stellaria media (L.) Vill.",37.08,-119.72,"SJER_SJER_022_32.4.1",2019-04-10,6,"234cb711-d843-4277-b0da-9417c04db4bd"
"Cerastium glomeratum Thuill.",37.08,-119.72,"SJER_SJER_022_32.4.1",2019-04-10,7,"fb6547f8-7afd-4a14-a7d5-c1525fffba7c"
"Aira caryophyllea L.",37.08,-119.72,"SJER_SJER_022_32.2.1",2019-04-10,0.5,"0a6af332-9dc7-4bbe-a179-ebcb3dc86484"
"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.",37.08,-119.72,"SJER_SJER_022_32.2.1",2019-04-10,1,"f45cc8ab-ff24-44c0-9266-5935477be6f7"
"Calandrinia ciliata (Ruiz & Pav.) DC.",37.08,-119.72,"SJER_SJER_015_31.1.1",2019-04-10,1,"33d3db54-814e-4dd0-ae28-b53e3fcff5f3"
"Castilleja attenuata (A. Gray) T.I. Chuang & Heckard",37.08,-119.72,"SJER_SJER_022_32.2.1",2019-04-10,0.5,"284393ba-9e5c-48ea-b29b-401bc6a87507"
"Castilleja attenuata (A. Gray) T.I. Chuang & Heckard",37.08,-119.72,"SJER_SJER_015_31.1.1",2019-04-10,0.5,"22e15fff-3f3a-4baa-94e1-e3bf633e149f"
"Erodium botrys (Cav.) Bertol.",37.08,-119.72,"SJER_SJER_022_32.2.1",2019-04-10,11,"0d9fe2de-314d-41ae-87b3-0488bf98f5b6"
"Bromus hordeaceus L.",37.08,-119.72,"SJER_SJER_022_32.2.1",2019-04-10,20,"375166fd-e30b-4314-a875-f39050ea3fb0"
